categoria,video,distancia_centros_mean,distancia_centros_std,distancia_centros_max,distancia_centros_min,velocidad_relativa_mean,velocidad_relativa_std,velocidad_relativa_max,velocidad_relativa_min,aceleracion_prom_mean,aceleracion_prom_std,aceleracion_prom_max,aceleracion_prom_min,diferencia_orientacion_mean,diferencia_orientacion_std,diferencia_orientacion_max,diferencia_orientacion_min,ang_brazo_der_mean,ang_brazo_der_std,ang_brazo_der_max,ang_brazo_der_min,ang_brazo_izq_mean,ang_brazo_izq_std,ang_brazo_izq_max,ang_brazo_izq_min,ang_pierna_der_mean,ang_pierna_der_std,ang_pierna_der_max,ang_pierna_der_min,ang_pierna_izq_mean,ang_pierna_izq_std,ang_pierna_izq_max,ang_pierna_izq_min,movimiento_relativo_mean,movimiento_relativo_std,movimiento_relativo_max,movimiento_relativo_min
noViolencia,NV_1.mp4,76.16142857142857,11.849743216024315,97.28,58.98,6.332571428571429,7.6555522303999055,22.26,0.0,36.69271428571428,46.81247152812409,120.988,0.0,11.555714285714286,3.5084415207841078,15.64,7.45,11.382857142857143,14.224579330962909,42.88,1.93,136.3642857142857,47.9154849212454,161.06,28.11,48.17142857142857,21.88186724860825,89.61,24.53,58.41285714285714,26.385507836869916,115.85,39.96,76.16157142857142,11.849216610633562,97.278,58.982
noViolencia,NV_105.mp4,51.163333333333334,18.11615945318801,66.58,31.21,47.77700000000001,34.91521827226632,70.035,7.536,21.564333333333334,15.286586811101207,33.112,4.229,169.69333333333333,144.96552084317614,335.49,66.83,32.556666666666665,48.96967054548492,89.08,2.93,14.979999999999999,25.94612109738178,44.94,0.0,70.86999999999999,68.75865690951213,149.04,19.75,6.510000000000001,5.756101110995185,12.33,0.82,51.163999999999994,18.11565875147796,66.582,31.212
noViolencia,NV_106.mp4,62.915,25.576052275517423,81.0,44.83,45.452999999999996,30.402763163896793,66.951,23.955,21.1265,17.464830388526536,33.476,8.777,176.21,190.33900335979487,310.8,41.62,7.13,0.5232590180780453,7.5,6.76,31.135,44.03153926448632,62.27,0.0,18.705,8.350931085813125,24.61,12.8,4.325,4.108290398693842,7.23,1.42,62.9195,25.576759382298604,81.005,44.834
noViolencia,NV_107.mp4,78.88,18.718704549193568,96.53,59.25,12.387,4.02364424371738,16.986,9.516,9.302,3.643156323848868,12.488,5.33,32.546666666666674,11.914664633691263,42.7,19.43,11.423333333333332,8.443733376494862,17.1,1.72,19.703333333333333,10.712428918472847,31.41,10.39,51.4,46.976054538456076,103.08,11.29,0.0,0.0,0.0,0.0,78.88033333333333,18.722322087105898,96.533,59.246
noViolencia,NV_110.mp4,48.29,21.038342377668446,62.31,11.36,4.0268,3.727347408010152,7.215,0.0,0.8734,0.8250795719201877,1.629,0.0,229.28199999999998,127.11545684927542,288.44,1.91,13.028,4.4894008508931345,16.46,6.44,53.398,16.988911677915098,66.44,26.18,82.03999999999999,24.120746257112362,116.77,59.39,8.05,11.135631998229826,22.36,0.0,48.2906,21.037271764656175,62.308,11.362
noViolencia,NV_113.mp4,11.07,0.0,11.07,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.11,0.0,249.11,249.11,20.95,0.0,20.95,20.95,56.23,0.0,56.23,56.23,76.14,0.0,76.14,76.14,39.22,0.0,39.22,39.22,11.074,0.0,11.074,11.074
noViolencia,NV_114.mp4,31.464,13.741775618269175,58.24,10.61,21.631800000000002,22.01601077852207,72.405,0.0,22.881466666666665,16.86840662670335,53.732,0.0,198.47999999999996,126.81252146377344,329.89,1.98,54.818,75.12383587878655,180.0,0.9,56.06066666666666,46.289870608507655,165.14,0.0,66.47600000000001,48.11761613855307,168.4,2.66,44.54333333333332,29.335221070210046,115.67,0.0,31.463066666666666,13.741227947139153,58.235,10.612
noViolencia,NV_115.mp4,57.02230769230769,4.041398590104987,65.65,51.19,3.5917692307692306,1.951708019225133,6.244,0.0,26.101923076923075,38.245292460775566,83.551,0.0,273.4046153846154,6.592123602432189,283.51,263.73,74.11846153846155,58.87482099706034,137.04,1.87,43.56153846153847,22.321573587807322,78.27,22.37,122.25692307692309,54.507721835934305,171.4,46.56,42.940000000000005,33.25395139428296,70.85,0.0,57.0226923076923,4.040635787113528,65.648,51.193
noViolencia,NV_125.mp4,56.650000000000006,26.276087988892108,75.23,38.07,4.141,5.8562583617869866,8.282,0.0,0.8455,1.195717566986452,1.691,0.0,205.73499999999999,116.55241074297862,288.15,123.32,1.235,0.8414570696119916,1.83,0.64,49.02,28.651966773678907,69.28,28.76,48.9,3.8325187540310885,51.61,46.19,36.93,6.9862149981230885,41.87,31.99,56.6515,26.272552454986176,75.229,38.074
noViolencia,NV_132.mp4,41.5,29.98466274614407,75.9,20.9,13.572333333333333,13.059900778081483,28.124,2.869,12.381666666666666,10.200705874268374,18.924,0.628,141.58333333333334,148.10792022485944,303.56,13.07,8.08,6.447069101537536,13.9,1.15,68.95,5.746233549030177,75.07,63.67,33.38666666666666,11.5945432567796,46.51,24.53,39.92333333333334,4.707593157159327,43.5,34.59,41.502,29.986043620324438,75.904,20.904
noViolencia,NV_136.mp4,49.4425,6.0491838292450675,54.17,41.36,7.125,5.731969353256058,13.637,0.0,2.617,1.8141402003887863,3.91,0.0,296.47,14.886595760392401,318.33,285.74,5.827500000000001,3.444351656456311,9.91,1.54,73.6525,11.724948827180445,91.23,67.27,52.4975,12.970531664764811,63.01,36.32,18.497500000000002,12.741782646082141,29.01,0.0,49.4395,6.04880420689357,54.167,41.358
noViolencia,NV_138.mp4,182.69132132132134,131.33343714417998,525.87,6.15,145.5177987987988,125.51215772431374,484.414,0.0,125.76622822822821,96.34274349632962,396.553,0.0,77.34381381381381,114.0127568910821,341.81,0.05,16.236096096096094,39.13130450090496,180.0,0.0,45.63261261261261,20.666615913942437,137.94,0.0,55.24462462462462,32.54328150816251,180.0,0.0,35.17441441441441,31.448660937015394,174.8,0.0,182.69123123123123,131.33354499821735,525.868,6.145
noViolencia,NV_140.mp4,168.70988505747127,114.98558864700509,402.46,1.14,153.338,171.81379724770187,516.648,0.0,138.85918390804596,122.24747440008052,462.942,0.0,32.53264367816091,76.75018175055776,261.55,0.01,10.25367816091954,30.047021371353335,176.79,0.0,54.67609195402301,17.02169643912923,119.66,0.0,51.011724137931026,28.224101287807393,146.76,14.18,43.51862068965517,31.631066204574445,167.45,0.0,168.70997701149423,114.98585658871846,402.46,1.14
noViolencia,NV_141.mp4,153.43670422535212,117.51289849920076,437.19,0.92,149.4828338028169,116.5229790664378,511.734,0.0,130.716276056338,101.47589487181955,422.189,0.0,47.79597183098591,84.58891027240304,314.55,0.01,48.072788732394365,65.31344944465262,179.64,0.0,50.88405633802817,32.704668128540106,173.24,0.0,62.55673239436619,43.97253301038148,177.18,3.14,54.74783098591549,39.0492529146422,156.6,0.0,153.43674647887326,117.51308497935422,437.187,0.92
noViolencia,NV_142.mp4,155.71785714285713,108.31056042206501,414.11,8.33,108.23957142857141,127.89826842033725,415.89,0.0,83.045,94.46735912707862,315.452,0.0,81.40428571428572,107.00746752857161,269.71,0.44,39.479642857142856,58.66734144069916,170.81,2.06,50.61142857142857,25.956940942044444,109.28,3.33,61.887857142857136,35.95869465322707,138.53,17.44,41.89142857142857,21.42494595080018,90.0,1.06,155.71800000000005,108.30997813716921,414.111,8.327
noViolencia,NV_144.mp4,182.28745454545452,129.95168729246444,515.19,2.48,201.7432727272727,170.63181609847138,498.835,0.0,138.79487272727272,105.11953320828916,400.644,0.0,21.398363636363634,53.75491328134484,214.02,0.02,42.071272727272735,56.38739238857967,179.99,0.0,57.44681818181817,35.44646634040811,130.75,0.63,52.94745454545454,39.86490168207828,174.89,0.09,35.53245454545455,24.936054372763166,90.0,0.0,182.28723636363634,129.95173334000614,515.19,2.478
noViolencia,NV_145.mp4,117.518,39.08333493958774,169.64,77.8,6.2265999999999995,10.352639122465343,23.871,0.0,5.292999999999999,7.911073694512016,17.717,0.0,98.816,97.49529696349461,218.56,25.63,3.85,6.214032507156686,14.91,0.52,65.172,6.521554262597222,76.2,60.7,34.178000000000004,22.536164713633063,73.28,18.39,40.098,14.99850225855902,65.47,25.32,117.5184,39.08480628453978,169.643,77.799
noViolencia,NV_146.mp4,60.71571428571429,6.339831378259355,64.67,46.98,5.217428571428571,4.312609761198079,12.835,0.0,1.6904285714285712,1.658566937363182,3.772,0.0,297.3814285714285,10.297000256662837,309.3,281.59,8.967142857142857,1.887058683822651,11.7,6.72,65.43285714285715,28.72216026827005,109.89,18.98,69.91571428571429,7.9872165722126605,80.88,58.94,16.125714285714288,11.214216954596603,31.64,0.0,60.71371428571428,6.341616453089482,64.669,46.975
noViolencia,NV_160.mp4,67.75725,28.58115687198518,118.45,20.21,52.13835,56.00902336714171,159.388,0.0,54.44545000000001,41.31405398486213,126.064,0.0,178.62,119.75766847669654,327.95,7.35,11.7225,4.5537534532317965,21.54,2.99,20.14225,14.151692204241504,59.32,0.0,61.251749999999994,27.9925820657032,163.55,1.1,4.22175,8.858544734192648,29.64,0.0,67.757425,28.581126616368667,118.452,20.212
noViolencia,NV_163.mp4,65.0164705882353,17.914505624345484,87.31,24.59,22.993235294117646,41.50313969076527,138.266,0.0,34.117999999999995,39.69659805323373,107.285,0.0,60.14529411764707,19.434731191107026,81.27,4.83,18.128823529411765,26.141227707003583,109.25,5.2,5.692941176470589,9.358544735097627,35.49,0.0,53.34294117647058,37.21367520225358,132.84,0.0,72.84764705882353,67.55051762657077,180.0,0.0,65.01682352941177,17.912517690972752,87.308,24.595
noViolencia,NV_169.mp4,29.590000000000003,10.992154778143668,46.2,15.04,72.86800000000001,58.99836245185115,135.404,0.773,43.19285714285714,39.80559628757649,105.768,1.501,136.53428571428572,94.21812296600953,309.21,6.27,19.774285714285714,34.400980536966706,97.04,1.71,34.245714285714286,19.00288737459201,59.44,3.56,36.034285714285716,25.87254649053243,84.15,11.59,20.94,25.999678844170365,69.33,0.0,29.590428571428568,10.992849552582545,46.202,15.035
noViolencia,NV_170.mp4,45.24172413793104,39.51702734888608,179.82,0.22,36.02158620689655,39.372602636783974,131.329,0.0,30.86427586206897,35.034154933738336,103.42,0.0,71.40137931034482,42.42118656353365,128.83,3.72,44.486206896551735,53.6028697535198,168.88,2.6,41.526896551724136,45.76146297482259,144.59,0.0,52.45137931034482,23.697859415708827,119.18,20.52,35.262068965517244,41.297792346678285,155.41,0.0,45.24034482758621,39.5169591227035,179.817,0.216
noViolencia,NV_171.mp4,42.272,34.92243804634956,125.68,0.74,35.77096666666667,45.48011474357517,139.854,0.0,32.40137777777778,29.555827162700265,134.523,0.0,80.36511111111113,75.99004834674291,245.07,0.8,43.101888888888894,52.947479020197534,160.82,0.72,34.616,29.051907469914077,95.68,0.0,69.70611111111111,35.28051267476505,166.54,2.47,38.26933333333333,30.054399173214584,145.29,0.0,42.27162222222223,34.92273794419048,125.677,0.741
noViolencia,NV_18.mp4,278.0246296296296,175.12633363087434,778.73,13.5,186.01546296296294,179.28385076761552,751.088,0.0,184.33642592592594,133.6717220035008,488.349,0.0,132.20703703703703,104.06029545013031,343.16,0.85,32.791111111111114,51.124627697741765,172.85,0.87,32.58685185185185,31.477676595715106,115.57,0.0,41.88074074074074,37.20511198654717,175.37,0.68,32.5174074074074,35.25429914557914,176.34,0.0,278.02457407407405,175.125838072804,778.727,13.502
noViolencia,NV_181.mp4,285.305,3.867874093090434,288.04,282.57,12.881,14.956722635657854,23.457,2.305,14.3035,15.718276638995764,25.418,3.189,225.24,10.47932249718463,232.65,217.83,0.30500000000000005,0.3606244584051393,0.56,0.05,58.555,1.2798632739476528,59.46,57.65,23.65,5.769991334482228,27.73,19.57,36.32,0.565685424949236,36.72,35.92,285.303,3.869288306652774,288.039,282.567
noViolencia,NV_182.mp4,66.16666666666667,34.103094888182525,111.04,12.49,12.651666666666667,17.747572416155023,47.019,0.0,12.590666666666667,16.146517893813453,60.711,0.0,166.97,120.63914603951262,299.71,5.58,11.79,3.207682741704449,16.68,5.42,46.843333333333334,39.681463586679264,176.72,11.74,63.958666666666666,14.829774040599473,100.89,37.35,9.335333333333333,16.722695385385126,53.47,0.0,66.16713333333334,34.10239984824416,111.039,12.487
noViolencia,NV_190.mp4,58.19157894736841,25.858687399693892,114.12,23.85,45.11121052631578,54.24505581215976,166.373,0.0,44.71778947368421,39.54532201099413,116.487,0.0,198.2636842105263,97.51019719954799,299.61,1.17,7.126315789473685,4.376640277308505,14.39,1.1,66.62052631578948,11.27031966109027,82.67,43.37,54.80631578947369,9.396325056180396,70.23,39.97,39.72842105263158,15.641274906533495,70.19,8.25,58.19078947368421,25.859622439838407,114.121,23.848
noViolencia,NV_191.mp4,44.521764705882354,17.04267263198987,71.09,24.11,21.980176470588237,31.41111544150274,97.086,0.0,21.99705882352941,22.318068368114286,68.723,0.0,197.7776470588235,135.89997031499914,329.83,0.79,12.24470588235294,8.25149692301877,30.62,2.28,56.40294117647059,27.98216837664343,109.43,15.5,23.027647058823533,19.304939629992294,61.48,2.43,57.34705882352941,26.360028633497794,107.75,0.38,44.52194117647059,17.044332644865374,71.092,24.107
noViolencia,NV_192.mp4,33.64923076923076,21.682813263634426,83.8,8.78,21.41169230769231,27.673151731069034,63.154,0.0,27.027153846153848,18.75056912845649,64.134,0.0,157.55615384615388,143.36513514673302,320.83,10.54,14.30923076923077,13.588856624417463,57.31,5.9,53.03076923076923,17.62590208638906,86.19,15.36,50.26384615384615,36.258049804712684,106.99,4.29,62.583846153846146,46.034536046042206,173.81,10.46,33.648769230769226,21.683904334605142,83.803,8.783
noViolencia,NV_193.mp4,15.229999999999999,14.598969141689423,32.0,5.36,11.849333333333334,9.169042061924099,20.463,2.211,5.647666666666666,3.518154108809523,9.126,2.091,123.35000000000001,199.69531566864555,353.8,1.21,58.9,90.63790101276616,163.41,1.8,35.026666666666664,20.399044912282864,54.83,14.08,64.14333333333333,16.891016349922033,83.62,53.51,39.45333333333333,49.2080647184314,96.11,7.39,15.228333333333333,14.598631111625958,31.998,5.359
noViolencia,NV_194.mp4,92.98375,16.80460390785811,127.87,78.5,8.255875,5.291390161317318,14.056,0.0,32.676,46.928347607207066,112.455,0.0,0.4325,0.3055556998556658,1.1,0.13,1.6,1.4289856542317,3.59,0.08,51.18375,2.987645692801322,55.42,46.05,51.738749999999996,1.9280518479987574,54.11,48.34,16.015,6.113098349329203,21.62,6.15,92.98262500000001,16.806730590004708,127.874,78.499
noViolencia,NV_196.mp4,44.06894736842106,18.622190733619345,66.53,2.49,60.952,52.621467520395136,169.865,0.0,39.71047368421053,38.272481970105446,120.196,0.0,147.64947368421053,93.91470932439381,263.02,0.39,24.659473684210532,30.07776115960543,91.51,3.04,36.34368421052631,52.58000593915337,175.42,0.0,74.1842105263158,28.624332173828286,142.15,23.44,55.18736842105263,19.804859909208943,85.27,2.56,44.06857894736842,18.62237711081241,66.534,2.494
noViolencia,NV_197.mp4,40.048235294117646,13.51583341644815,67.02,11.88,21.13694117647059,28.915255745174097,73.211,0.0,20.196117647058824,21.611983107995762,70.8,0.0,191.9723529411765,97.23875587499897,266.29,0.78,14.854117647058823,23.2134713202333,102.88,1.19,33.69941176470588,20.40520046170468,66.82,10.71,73.7535294117647,16.666455059931184,104.38,46.95,62.25235294117647,24.27238130298812,131.77,34.86,40.048941176470585,13.516700408525134,67.025,11.875
noViolencia,NV_198.mp4,25.6325,19.274003865310394,42.6,2.67,20.92575,14.173043859735989,29.67,0.0,5.052,3.5310655615550384,7.486,0.0,64.9225,55.881844025288444,113.91,3.34,4.795,2.558339305096179,8.56,3.19,33.39,25.008694488117527,60.64,0.0,99.38,57.33067939593948,148.95,45.83,16.572499999999998,11.052451839599513,22.31,0.0,25.633250000000004,19.2752625122634,42.6,2.668
noViolencia,NV_199.mp4,48.79333333333333,46.542585517638216,113.4,11.77,17.64233333333333,21.85890582501024,44.608,0.0,9.262500000000001,12.929221426675314,34.023,0.0,191.79666666666665,132.26875998007492,300.55,19.56,24.16333333333333,18.863932428490795,47.32,6.89,21.631666666666664,40.95161995167794,105.11,1.39,52.803333333333335,20.853519287320943,93.8,37.11,20.49833333333333,20.052560351901864,53.22,0.0,48.792333333333325,46.539998825383165,113.396,11.772
noViolencia,NV_2.mp4,105.79,0.0,105.79,105.79,47.488,0.0,47.488,47.488,14.199,0.0,14.199,14.199,58.64,0.0,58.64,58.64,2.84,0.0,2.84,2.84,0.0,0.0,0.0,0.0,79.49,0.0,79.49,79.49,19.81,0.0,19.81,19.81,105.785,0.0,105.785,105.785
noViolencia,NV_200.mp4,67.91,0.0,67.91,67.91,44.398,0.0,44.398,44.398,5.807,0.0,5.807,5.807,99.37,0.0,99.37,99.37,31.22,0.0,31.22,31.22,0.0,0.0,0.0,0.0,36.7,0.0,36.7,36.7,129.72,0.0,129.72,129.72,67.915,0.0,67.915,67.915
noViolencia,NV_201.mp4,25.740000000000002,14.283556979968262,35.84,15.64,13.6495,8.442147860586191,19.619,7.68,3.0665,3.457045053221031,5.511,0.622,80.42500000000001,1.8879751057680831,81.76,79.09,3.3449999999999998,2.4678026663410506,5.09,1.6,24.064999999999998,23.256742033225546,40.51,7.62,46.0,5.911412690719537,50.18,41.82,16.675,22.98804145637466,32.93,0.42,25.7405,14.288506727436566,35.844,15.637
