categoria,video,frame,persona_1,persona_2,distancia_centros,velocidad_relativa,aceleracion_prom,diferencia_orientacion,ang_brazo_der,ang_brazo_izq,ang_pierna_der,ang_pierna_izq,movimiento_relativo
noViolencia,NV_1.mp4,0,0,1,75.56,0.0,0.0,9.73,2.55,152.21,44.68,63.35,75.555
noViolencia,NV_1.mp4,10,0,1,74.42,4.803,120.988,8.22,42.88,28.11,89.61,115.85,74.417
noViolencia,NV_1.mp4,20,0,1,76.26,4.021,7.199,10.0,1.93,156.57,36.41,51.85,76.264
noViolencia,NV_1.mp4,30,0,1,82.26,3.884,83.76,15.53,9.58,149.08,24.53,39.96,82.265
noViolencia,NV_1.mp4,40,0,1,58.98,22.26,16.529,15.64,9.29,161.06,64.28,45.07,58.982
noViolencia,NV_1.mp4,50,0,1,68.37,9.08,23.973,14.32,5.39,150.58,36.31,45.03,68.37
noViolencia,NV_1.mp4,60,0,1,97.28,0.28,4.4,7.45,8.06,156.94,41.38,47.78,97.278
noViolencia,NV_105.mp4,40,0,1,66.58,70.035,33.112,335.49,89.08,0.0,149.04,0.82,66.582
noViolencia,NV_105.mp4,90,0,1,31.21,7.536,4.229,106.76,5.66,44.94,43.82,6.38,31.212
noViolencia,NV_105.mp4,120,0,1,55.7,65.76,27.352,66.83,2.93,0.0,19.75,12.33,55.698
noViolencia,NV_106.mp4,10,0,1,81.0,66.951,33.476,41.62,6.76,0.0,24.61,1.42,81.005
noViolencia,NV_106.mp4,70,0,1,44.83,23.955,8.777,310.8,7.5,62.27,12.8,7.23,44.834
noViolencia,NV_107.mp4,10,0,1,96.53,10.659,5.33,42.7,15.45,17.31,103.08,0.0,96.533
noViolencia,NV_107.mp4,20,0,1,80.86,9.516,10.088,35.51,17.1,31.41,39.83,0.0,80.862
noViolencia,NV_107.mp4,50,0,1,59.25,16.986,12.488,19.43,1.72,10.39,11.29,0.0,59.246
noViolencia,NV_110.mp4,0,0,1,62.31,0.0,0.0,283.87,10.24,47.93,82.9,17.89,62.308
noViolencia,NV_110.mp4,50,0,1,57.78,7.215,1.629,288.44,16.0,66.44,59.39,0.0,57.777
noViolencia,NV_110.mp4,50,0,2,51.13,7.215,1.629,286.53,16.0,66.44,59.39,0.0,51.133
noViolencia,NV_110.mp4,50,1,2,11.36,0.0,0.0,1.91,6.44,26.18,116.77,22.36,11.362
noViolencia,NV_110.mp4,60,0,1,58.87,5.704,1.109,285.66,16.46,60.0,91.75,0.0,58.873
noViolencia,NV_113.mp4,20,0,1,11.07,0.0,0.0,249.11,20.95,56.23,76.14,39.22,11.074
noViolencia,NV_114.mp4,0,0,1,21.55,0.0,0.0,279.36,17.74,82.08,87.85,69.07,21.546
noViolencia,NV_114.mp4,10,0,1,27.66,5.614,53.732,292.47,163.57,101.36,44.66,15.16,27.657
