categoria,video,frame,persona_id,velocidad_media,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16
noViolencia,NV_506.mp4,0,0,0.0,81.56,94.66,80.44,90.47,77.37,91.3,80.44,91.3,60.62,100.26,67.88,113.98,38.28,128.81,70.11,151.2,39.12,182.83,82.95,158.76,73.46,156.24,69.27,198.79,49.73,205.5,87.7,218.94,87.7,208.58,25.16,218.94,27.11,218.94
noViolencia,NV_506.mp4,0,1,0.0,119.91,92.01,127.73,86.41,120.75,82.78,145.89,93.69,119.07,78.58,165.44,140.14,115.16,125.03,177.18,148.81,105.38,133.7,113.21,144.9,110.97,112.16,101.75,148.81,101.75,148.81,172.15,148.81,101.75,148.81,177.18,148.81,101.75,148.81
noViolencia,NV_506.mp4,0,2,0.0,99.96,158.76,100.52,157.36,99.12,157.64,97.73,155.69,101.35,155.13,103.86,158.2,99.12,157.36,104.42,165.18,104.98,165.18,102.47,169.64,102.47,169.64,98.29,171.87,99.12,172.15,98.84,182.76,99.68,182.76,101.07,190.85,99.96,191.13
noViolencia,NV_506.mp4,10,0,10.947500228881836,80.11,93.81,78.99,88.5,75.92,90.45,57.78,97.16,57.23,96.89,66.43,114.5,36.02,128.76,61.69,153.93,41.04,182.45,81.22,154.49,70.62,147.78,69.5,202.58,50.25,209.85,94.62,203.98,94.62,209.01,94.62,217.68,49.97,217.68
noViolencia,NV_506.mp4,10,1,11.42389965057373,119.41,91.76,127.23,83.65,119.69,83.09,145.39,92.6,145.39,92.88,166.05,139.87,112.99,126.72,173.59,146.3,108.24,146.3,117.18,146.3,108.24,146.3,108.24,146.3,108.24,146.3,172.75,146.3,108.24,146.3,108.24,146.3,108.24,146.3
noViolencia,NV_506.mp4,20,0,20.731199264526367,79.17,97.88,78.05,91.16,73.58,93.96,76.93,82.49,55.7,99.28,65.48,112.71,35.86,120.82,58.77,152.72,37.53,154.4,90.35,137.33,79.73,129.22,78.33,203.08,49.27,196.65,93.98,123.9,92.58,123.9,86.43,212.88,85.6,212.88
noViolencia,NV_506.mp4,20,1,4.957799911499023,119.3,90.36,127.69,82.81,120.7,81.13,145.04,89.8,119.58,76.94,165.75,139.85,114.26,127.27,174.7,147.12,103.35,147.12,112.86,147.12,103.35,147.12,103.35,147.12,103.35,147.12,173.03,147.12,103.35,147.12,107.27,137.9,103.35,147.12
noViolencia,NV_506.mp4,30,0,15.032400131225586,87.74,97.22,85.5,91.91,84.11,97.78,63.45,90.23,68.48,107.01,70.43,116.24,40.28,120.72,71.27,161.83,39.16,150.09,101.69,134.14,92.2,133.58,78.8,210.78,48.65,208.55,108.12,134.42,108.12,134.14,87.18,218.9,108.12,135.82
noViolencia,NV_506.mp4,30,1,28.00119972229004,120.26,90.74,128.08,84.02,120.54,81.5,146.24,91.86,68.02,107.81,166.63,141.95,116.35,126.84,79.48,134.4,97.63,155.39,116.63,146.43,88.14,131.04,62.44,155.39,62.44,155.39,94.56,130.76,90.09,131.04,62.44,155.39,62.44,155.39
noViolencia,NV_506.mp4,40,0,18.189899444580078,86.43,98.05,85.04,91.06,82.24,92.73,61.85,91.06,66.32,107.29,67.72,117.65,41.18,120.17,68.56,160.19,38.39,148.44,97.05,138.64,86.71,133.32,76.66,202.46,49.28,200.78,97.89,204.42,97.05,205.26,85.04,215.33,27.78,215.33
