categoria,video,frame,persona_id,velocidad_media,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16
violencia_limpios,V_21.mp4,0,0,0.0,546.61,272.29,554.67,259.72,552.88,256.13,559.15,266.01,621.88,280.37,503.6,328.83,650.55,369.22,698.04,458.07,389.8,376.4,696.25,572.06,354.85,435.63,460.59,540.64,456.11,545.13,388.01,379.99,399.65,376.4,439.98,276.78,439.98,276.78
violencia_limpios,V_21.mp4,0,1,0.0,311.82,138.46,256.32,1.34,169.48,77.52,311.82,517.56,311.82,517.56,238.41,1.34,129.2,1.34,262.58,64.08,76.38,101.72,278.7,118.75,114.88,202.99,224.09,186.86,154.26,187.76,259.9,336.53,153.37,340.11,193.65,517.56,88.92,472.75
violencia_limpios,V_21.mp4,10,0,290.7102966308594,378.96,150.51,390.62,139.74,380.76,138.85,344.01,94.0,357.45,103.86,302.78,105.66,270.52,132.57,311.75,220.47,295.61,268.02,335.94,268.91,397.79,365.79,155.8,286.85,193.44,298.51,205.09,427.68,322.5,434.86,109.19,517.39,295.61,628.62
violencia_limpios,V_21.mp4,10,1,380.23980712890625,392.32,308.74,398.6,295.3,392.32,296.19,425.51,293.51,453.31,293.51,422.81,373.27,508.92,346.38,428.2,477.22,425.51,477.22,447.93,599.1,448.83,603.58,485.6,546.23,516.1,530.99,410.26,403.74,486.5,560.57,509.82,548.02,447.03,596.41
violencia_limpios,V_21.mp4,10,2,0.0,371.01,148.86,379.96,140.78,374.59,137.19,335.19,90.52,345.04,103.09,301.17,123.73,271.62,135.4,299.37,226.94,302.06,286.18,328.03,266.43,405.93,375.93,155.21,279.0,178.49,293.36,195.51,407.34,302.06,285.28,189.24,407.34,405.93,376.82
violencia_limpios,V_21.mp4,10,3,0.0,375.2,153.63,315.15,135.7,379.68,141.08,345.62,106.12,358.17,106.12,315.15,106.12,271.24,140.18,306.19,220.86,299.02,275.54,331.28,271.05,402.08,371.45,228.22,295.26,228.22,310.49,417.32,409.99,318.74,441.36,298.13,622.43,293.64,629.6
violencia_limpios,V_21.mp4,20,0,64.1146011352539,328.25,94.09,334.52,81.53,332.73,82.42,288.85,4.39,342.58,34.89,201.99,60.0,294.23,92.29,235.12,185.57,338.1,235.8,407.05,282.44,418.7,292.31,181.4,265.4,253.93,270.78,188.56,440.3,348.85,429.54,143.79,554.21,267.36,598.16
violencia_limpios,V_21.mp4,20,1,94.37680053710938,410.64,385.21,416.02,372.67,419.6,282.2,466.18,286.67,410.64,292.94,490.36,418.35,502.9,347.59,447.37,579.59,556.64,451.49,372.13,502.55,562.91,536.59,455.43,611.84,478.72,554.51,343.47,458.66,344.36,455.97,335.41,454.18,342.57,456.87
violencia_limpios,V_21.mp4,30,0,133.58920288085938,404.81,210.35,404.81,197.8,405.71,196.9,363.56,158.34,404.81,191.52,253.26,196.9,389.57,207.66,178.82,245.33,372.53,334.1,131.29,298.23,304.37,555.6,203.93,343.07,303.48,354.73,178.82,469.51,389.57,468.62,125.01,582.5,440.69,626.44
violencia_limpios,V_21.mp4,30,1,118.89399719238281,340.88,294.76,361.49,260.67,360.59,260.67,434.98,355.76,460.97,353.07,435.88,379.99,503.99,394.34,368.66,337.82,547.9,502.0,573.89,576.46,570.31,572.87,448.42,655.41,500.4,540.58,446.63,345.0,478.89,593.51,447.53,641.06,573.89,577.36
