0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
violencia_limpios,V_804.mp4,0,0,0.0,376.17,205.24,321.44,157.53,316.38,156.52,347.79,163.62,377.69,46.9,373.64,217.42,391.88,128.6,279.38,134.69,311.81,151.95,396.44,203.21,338.67,190.01,359.96,283.39,341.71,218.43,363.5,354.95,327.52,282.89,338.67,366.62,338.17,365.61
violencia_limpios,V_804.mp4,10,0,163.54080200195312,236.09,168.34,277.6,167.84,206.22,155.66,286.21,185.09,190.02,163.78,260.9,151.09,152.56,219.59,122.69,195.74,125.22,201.83,274.57,327.68,201.16,94.76,116.62,225.18,119.65,225.18,119.15,327.17,119.15,326.67,273.05,326.67,242.67,354.57
violencia_limpios,V_804.mp4,30,0,142.31410217285156,286.1,173.64,299.8,152.83,278.49,162.98,278.49,152.32,272.91,153.85,337.86,187.33,316.04,182.77,283.57,237.06,282.55,237.06,373.89,295.41,271.9,208.14,328.73,343.61,348.01,334.98,323.65,435.45,335.32,436.97,345.47,497.86,348.52,497.86
violencia_limpios,V_804.mp4,40,0,298.7148132324219,70.01,136.44,69.5,129.34,63.93,131.37,68.49,152.68,55.84,150.65,51.28,67.42,49.26,67.42,63.93,99.9,60.9,103.45,51.79,218.14,64.95,120.71,47.74,117.66,37.11,218.14,56.85,139.48,53.81,168.92,50.77,206.47,50.77,210.02
violencia_limpios,V_804.mp4,40,1,0.0,279.54,146.52,242.49,177.44,275.48,140.94,254.16,166.29,271.42,143.47,299.33,170.34,266.34,170.85,299.33,213.93,255.69,208.87,223.72,257.53,279.03,208.36,227.78,218.5,263.8,242.32,233.86,257.53,234.37,257.53,224.22,252.46,223.72,257.53
violencia_limpios,V_804.mp4,40,2,0.0,355.24,382.08,369.92,359.77,365.36,176.69,251.95,155.89,335.49,168.07,300.56,192.92,315.75,189.87,254.99,234.5,361.31,237.54,230.18,265.94,362.83,213.2,285.87,275.58,327.9,279.64,280.31,330.35,369.41,269.49,266.13,359.77,266.64,359.26
violencia_limpios,V_804.mp4,50,0,380.74029541015625,397.63,276.31,397.63,266.16,391.54,266.67,342.85,267.68,380.38,271.74,361.11,335.17,368.71,335.68,281.98,397.07,287.56,408.24,291.11,453.9,288.57,457.96,302.27,336.69,352.99,472.68,331.69,408.74,357.05,507.18,358.57,520.88,356.54,507.18
violencia_limpios,V_804.mp4,60,0,247.19810485839844,176.49,212.83,177.0,202.68,171.92,201.16,118.14,195.58,152.64,195.07,100.38,228.56,124.74,227.55,167.36,256.47,204.9,264.59,171.92,250.38,278.47,264.08,55.23,385.37,96.32,398.56,62.84,512.74,134.88,468.59,18.19,512.74,18.19,512.74
violencia_limpios,V_804.mp4,60,1,0.0,241.16,138.25,243.67,135.21,240.16,135.71,247.68,136.22,237.15,136.22,244.67,149.4,237.15,150.92,244.67,167.14,243.17,167.14,242.16,178.8,243.17,185.9,247.18,185.9,240.66,187.93,243.17,210.74,240.16,211.25,242.16,227.97,239.15,228.48
violencia_limpios,V_804.mp4,60,2,0.0,178.4,203.77,179.41,198.69,176.88,197.17,123.68,194.13,152.56,196.16,113.55,224.58,113.55,227.62,181.44,186.51,181.44,186.51,178.9,227.62,189.54,227.62,109.49,227.62,132.29,216.96,109.49,227.62,189.54,227.62,135.33,227.62,174.34,227.62
violencia_limpios,V_804.mp4,60,3,0.0,176.56,205.95,177.57,196.82,173.52,196.31,124.41,194.79,150.23,193.27,88.47,233.86,127.45,228.79,64.68,306.93,172.0,256.19,182.63,250.1,223.13,265.32,76.32,316.06,108.21,387.1,128.46,322.15,157.32,410.95,65.18,371.88,137.07,390.65
violencia_limpios,V_804.mp4,70,0,88.79830169677734,129.98,174.61,129.98,164.47,123.39,160.42,62.1,160.42,109.71,163.97,41.33,204.52,110.22,214.66,19.04,251.17,174.56,259.28,128.96,231.39,212.04,242.55,33.22,397.17,83.88,398.19,139.1,265.87,143.65,271.95,128.46,387.54,136.06,393.62
violencia_limpios,V_804.mp4,70,1,191.77830505371094,383.63,153.87,350.82,197.52,380.6,146.77,324.58,167.07,375.55,161.99,329.12,214.27,398.26,210.72,332.15,300.55,404.32,283.3,341.23,352.83,396.75,201.58,360.91,369.58,394.73,358.41,338.2,458.91,383.63,445.2,378.07,523.87,404.32,509.15
